PRODUCT_CODE,PRODUCT_NAME,PRODUCT_PRICE,DISCOUNT_PRICE,DISCOUNT_RATE,PRODUCT_LINK
97,hince Slim Stick Melting Matte 1.6g,17.00,7.69,55% OFF,https://jolse.com/product/hince-slim-stick-melting-matte-16g/82334/category/4722/display/1/
98,TFIT Radiance Fit Serum Foundation 30g,15.00,11.25,25% OFF,https://jolse.com/product/tfit-radiance-fit-serum-foundation-30g/81692/category/4722/display/1/
99,UNLEASHIA Baby Blue Cushion RE-FEEL(+Puff),20.00,17.00,15% OFF,https://jolse.com/product/unleashia-baby-blue-cushion-re-feelpuff/81543/category/4722/display/1/
100,heimish Moringa Ceramide BB Cream SPF30 PA++ 30g,22.00,11.49,48% OFF,https://jolse.com/product/heimish-moringa-ceramide-bb-cream-spf30-pa-30g/81093/category/4722/display/1/
101,It's Skin Secret Solution Wedding Dress Pure Cream 100ml,15.00,10.50,30% OFF,https://jolse.com/product/its-skin-secret-solution-wedding-dress-pure-cream-100ml/80404/category/4722/display/1/
102,Dinto Chubby Mocchi Jelly Paw Paw Lip Mask 10g,20.00,17.00,15% OFF,https://jolse.com/product/dinto-chubby-mocchi-jelly-paw-paw-lip-mask-10g/79744/category/4722/display/1/
103,hince Mood Enhancer Water Liquid Glow 4ml,19.00,8.99,53% OFF,https://jolse.com/product/hince-mood-enhancer-water-liquid-glow-4ml/78359/category/4722/display/1/
104,hince Dewy Liquid Cheek 6ml,18.99,16.14,15% OFF,https://jolse.com/product/hince-dewy-liquid-cheek-6ml/78357/category/4722/display/1/
105,ETUDE Dear Darling Marker Tint 3.5g,11.40,9.69,15% OFF,https://jolse.com/product/etude-dear-darling-marker-tint-35g/75563/category/4722/display/1/
106,RiRe Fivepen Eyebrow Tint 2.5g,25.00,5.00,80% OFF,https://jolse.com/product/rire-fivepen-eyebrow-tint-25g/75428/category/4722/display/1/
107,RiRe Glam Lip Plumper 3g,25.00,5.49,78% OFF,https://jolse.com/product/rire-glam-lip-plumper-3g/75426/category/4722/display/1/
108,JAVIN DE SEOUL Wink Cushion Glow 16g,30.00,25.50,15% OFF,https://jolse.com/product/javin-de-seoul-wink-cushion-glow-16g/74454/category/4722/display/1/
109,UNLEASHIA Mood Shower Face Palette 4g,26.00,11.99,54% OFF,https://jolse.com/product/unleashia-mood-shower-face-palette-4g/73027/category/4722/display/1/
110,A'PIEU Full Shot Hidden Contour #03 Taupe Gray,16.00,12.16,24% OFF,https://jolse.com/product/apieu-full-shot-hidden-contour-03-taupe-gray/68288/category/4722/display/1/
111,thim sheer matte liquid lip 4g,19.00,6.99,63% OFF,https://jolse.com/product/thim-sheer-matte-liquid-lip-4g/66091/category/4722/display/1/
112,Dr.Jart+ Dermakeup B3 Barrier Beauty Balm 30ml,35.00,19.60,44% OFF,https://jolse.com/product/drjart-dermakeup-b3-barrier-beauty-balm-30ml/62999/category/4722/display/1/
113,2aN Lip Oil 3g #Fall In Hibiscus,17.00,5.49,68% OFF,https://jolse.com/product/2an-lip-oil-3g-fall-in-hibiscus/55989/category/4722/display/1/
114,2aN Volume Curling Mascara 7.5g,19.00,5.89,69% OFF,https://jolse.com/product/2an-volume-curling-mascara-75g/55987/category/4722/display/1/
115,FRUDIA Pomegranate Honey 3in1 Lip Balm 10g,9.00,8.55,5% OFF,https://jolse.com/product/frudia-pomegranate-honey-3in1-lip-balm-10g/55753/category/4722/display/1/
116,ROUND LAB Birch Juice Moisturizing Sun Cushion 15g,27.00,22.95,15% OFF,https://jolse.com/product/round-lab-birch-juice-moisturizing-sun-cushion-15g/54031/category/4722/display/1/
117,peripera Ink Mood Glowy Tint 4g,15.00,12.75,15% OFF,https://jolse.com/product/peripera-ink-mood-glowy-tint-4g/52759/category/4722/display/1/
118,MISSHA Triple Shadow 2g,8.16,4.08,50% OFF,https://jolse.com/product/missha-triple-shadow-2g/28163/category/4722/display/1/
119,MISSHA Superfood Berry Lip Oil 5.2g,10.66,5.99,44% OFF,https://jolse.com/product/missha-superfood-berry-lip-oil-52g/17144/category/4722/display/1/
